,month,GEOID,tripcount,NTACode,month_count
145,4,34017018200.0,2,,60463.0
146,4,34017018400.0,23,,60463.0
147,4,34017018500.0,15,,60463.0
148,4,34017018600.0,5,,60463.0
149,4,34017018701.0,3,,60463.0
150,4,34017018702.0,5,,60463.0
151,4,34017018800.0,5,,60463.0
152,4,34017018900.0,5,,60463.0
153,4,34017019000.0,7,,60463.0
154,4,34017019100.0,7,,60463.0
155,4,34017019200.0,11,,60463.0
156,4,34017019300.0,5,,60463.0
157,4,34017019400.0,6,,60463.0
158,4,34017019800.0,5,,60463.0
159,4,34017019900.0,4,,60463.0
160,4,34017020100.0,1,,60463.0
161,4,34023001412.0,1,,60463.0
162,4,34023001414.0,1,,60463.0
163,4,34023001502.0,1,,60463.0
164,4,34023002701.0,1,,60463.0
165,4,34023003001.0,3,,60463.0
166,4,34023003002.0,1,,60463.0
167,4,34023003101.0,1,,60463.0
168,4,34023005100.0,1,,60463.0
169,4,34023008900.0,1,,60463.0
170,4,34025810200.0,1,,60463.0
171,4,34027041902.0,1,,60463.0
172,4,34027042200.0,1,,60463.0
173,4,34027042500.0,1,,60463.0
174,4,34027043000.0,2,,60463.0
175,4,34027043301.0,1,,60463.0
176,4,34027044000.0,2,,60463.0
177,4,34027044200.0,2,,60463.0
178,4,34031124401.0,1,,60463.0
179,4,34031124402.0,2,,60463.0
180,4,34031124900.0,1,,60463.0
181,4,34035051000.0,1,,60463.0
182,4,34035052300.0,1,,60463.0
183,4,34035052400.0,2,,60463.0
184,4,34035052601.0,1,,60463.0
185,4,34039030702.0,1,,60463.0
186,4,34039031500.0,7,,60463.0
187,4,34039031601.0,2,,60463.0
188,4,34039031801.0,1,,60463.0
189,4,34039031903.0,1,,60463.0
190,4,34039033000.0,1,,60463.0
191,4,34039033200.0,1,,60463.0
192,4,34039033700.0,1,,60463.0
193,4,34039035200.0,1,,60463.0
194,4,34039036400.0,1,,60463.0
195,4,34039036600.0,1,,60463.0
196,4,34039037200.0,1,,60463.0
197,4,34039037800.0,2,,60463.0
198,4,34039038102.0,1,,60463.0
199,4,34039038500.0,1,,60463.0
200,4,34039039800.0,78,NJEWR,60463.0
201,4,36005001900.0,2,BX39,60463.0
202,4,36005002300.0,3,BX39,60463.0
203,4,36005002500.0,1,BX39,60463.0
204,4,36005002800.0,1,BX09,60463.0
205,4,36005003800.0,1,BX09,60463.0
206,4,36005004200.0,1,BX09,60463.0
207,4,36005005300.0,1,BX36,60463.0
208,4,36005005400.0,1,BX08,60463.0
209,4,36005005902.0,1,BX14,60463.0
210,4,36005006100.0,1,BX14,60463.0
211,4,36005006300.0,3,BX63,60463.0
212,4,36005006700.0,1,BX34,60463.0
213,4,36005007500.0,1,BX34,60463.0
214,4,36005007700.0,1,BX34,60463.0
215,4,36005007900.0,1,BX34,60463.0
216,4,36005008700.0,1,BX33,60463.0
217,4,36005009000.0,2,BX09,60463.0
218,4,36005012300.0,1,BX75,60463.0
219,4,36005012500.0,1,BX35,60463.0
220,4,36005013200.0,1,BX52,60463.0
221,4,36005013800.0,1,BX52,60463.0
222,4,36005014100.0,1,BX35,60463.0
223,4,36005014300.0,2,BX14,60463.0
224,4,36005014702.0,1,BX01,60463.0
225,4,36005015200.0,1,BX52,60463.0
226,4,36005015700.0,1,BX75,60463.0
227,4,36005015900.0,2,BX27,60463.0
228,4,36005016100.0,1,BX75,60463.0
229,4,36005016400.0,1,BX52,60463.0
230,4,36005017902.0,1,BX14,60463.0
231,4,36005018301.0,15,BX14,60463.0
232,4,36005018302.0,1,BX14,60463.0
233,4,36005018900.0,4,BX26,60463.0
234,4,36005019900.0,2,BX26,60463.0
235,4,36005020400.0,4,BX59,60463.0
236,4,36005020501.0,3,BX36,60463.0
237,4,36005021302.0,3,BX26,60463.0
238,4,36005021502.0,1,BX36,60463.0
239,4,36005021602.0,1,BX46,60463.0
240,4,36005022000.0,2,BX17,60463.0
241,4,36005022401.0,7,BX49,60463.0
242,4,36005022703.0,1,BX41,60463.0
243,4,36005022800.0,1,BX49,60463.0
244,4,36005022901.0,1,BX41,60463.0
245,4,36005022902.0,3,BX41,60463.0
246,4,36005024000.0,1,BX37,60463.0
247,4,36005024400.0,1,BX37,60463.0
248,4,36005024502.0,2,BX36,60463.0
249,4,36005025000.0,2,BX49,60463.0
250,4,36005025200.0,1,BX37,60463.0
251,4,36005025500.0,1,BX30,60463.0
252,4,36005025700.0,3,BX36,60463.0
253,4,36005026100.0,2,BX30,60463.0
254,4,36005026400.0,2,BX52,60463.0
255,4,36005026500.0,2,BX30,60463.0
256,4,36005026602.0,3,BX10,60463.0
257,4,36005026701.0,1,BX28,60463.0
258,4,36005026900.0,3,BX30,60463.0
259,4,36005027401.0,2,BX10,60463.0
260,4,36005027600.0,1,BX99,60463.0
261,4,36005027700.0,1,BX28,60463.0
262,4,36005027900.0,3,BX28,60463.0
263,4,36005028400.0,1,BX37,60463.0
264,4,36005028500.0,9,BX29,60463.0
265,4,36005028600.0,1,BX37,60463.0
266,4,36005028900.0,3,BX29,60463.0
267,4,36005029301.0,2,BX29,60463.0
268,4,36005029302.0,3,BX29,60463.0
269,4,36005029500.0,13,BX29,60463.0
270,4,36005029600.0,3,BX49,60463.0
271,4,36005029700.0,5,BX29,60463.0
272,4,36005030701.0,5,BX22,60463.0
273,4,36005030900.0,5,BX22,60463.0
274,4,36005031400.0,3,BX31,60463.0
275,4,36005032400.0,1,BX07,60463.0
276,4,36005033000.0,2,BX07,60463.0
277,4,36005033500.0,6,BX22,60463.0
278,4,36005033700.0,1,BX22,60463.0
279,4,36005034500.0,1,BX22,60463.0
280,4,36005035100.0,9,BX22,60463.0
281,4,36005036800.0,1,BX44,60463.0
282,4,36005037800.0,1,BX44,60463.0
283,4,36005038200.0,1,BX44,60463.0
284,4,36005038700.0,1,BX06,60463.0
285,4,36005038800.0,1,BX44,60463.0
286,4,36005038900.0,2,BX06,60463.0
287,4,36005039100.0,2,BX06,60463.0
288,4,36005039700.0,3,BX06,60463.0
289,4,36005039902.0,1,BX05,60463.0
290,4,36005040502.0,2,BX05,60463.0
291,4,36005041100.0,1,BX05,60463.0
292,4,36005041900.0,2,BX43,60463.0
293,4,36005042000.0,1,BX44,60463.0
294,4,36005042100.0,3,BX43,60463.0
295,4,36005042500.0,2,BX43,60463.0
296,4,36005042600.0,1,BX62,60463.0
297,4,36005042902.0,1,BX43,60463.0
298,4,36005043100.0,1,BX43,60463.0
299,4,36005043500.0,1,BX99,60463.0
300,4,36005045101.0,1,BX62,60463.0
301,4,36005045600.0,1,BX03,60463.0
302,4,36005046000.0,1,BX03,60463.0
303,4,36005046201.0,2,BX13,60463.0
304,4,36047000100.0,61,BK09,60463.0
305,4,36047000200.0,1,BK32,60463.0
306,4,36047000301.0,82,BK09,60463.0
307,4,36047000501.0,49,BK09,60463.0
308,4,36047000502.0,51,BK09,60463.0
309,4,36047000700.0,86,BK09,60463.0
310,4,36047000900.0,97,BK09,60463.0
311,4,36047001100.0,61,BK38,60463.0
312,4,36047001300.0,17,BK38,60463.0
313,4,36047001500.0,190,BK38,60463.0
314,4,36047001800.0,3,BK32,60463.0
315,4,36047002000.0,2,BK32,60463.0
316,4,36047002100.0,280,BK38,60463.0
317,4,36047002200.0,8,BK32,60463.0
318,4,36047002300.0,7,BK38,60463.0
319,4,36047002901.0,2,BK68,60463.0
320,4,36047003000.0,1,BK31,60463.0
321,4,36047003100.0,43,BK68,60463.0
322,4,36047003300.0,49,BK68,60463.0
323,4,36047003400.0,8,BK31,60463.0
324,4,36047003500.0,35,BK68,60463.0
325,4,36047003600.0,1,BK31,60463.0
326,4,36047003700.0,52,BK38,60463.0
327,4,36047003800.0,2,BK31,60463.0
328,4,36047003900.0,37,BK38,60463.0
329,4,36047004100.0,77,BK38,60463.0
330,4,36047004300.0,99,BK38,60463.0
331,4,36047004500.0,72,BK33,60463.0
332,4,36047004700.0,42,BK33,60463.0
333,4,36047004900.0,40,BK33,60463.0
334,4,36047005000.0,4,BK31,60463.0
335,4,36047005100.0,23,BK33,60463.0
336,4,36047005300.0,24,BK33,60463.0
337,4,36047005601.0,5,BK31,60463.0
338,4,36047005602.0,3,BK31,60463.0
339,4,36047005900.0,13,BK33,60463.0
340,4,36047006000.0,10,BK31,60463.0
341,4,36047006200.0,2,BK31,60463.0
342,4,36047006300.0,22,BK33,60463.0
343,4,36047006400.0,3,BK31,60463.0
344,4,36047006500.0,54,BK33,60463.0
345,4,36047006600.0,5,BK31,60463.0
346,4,36047006700.0,37,BK33,60463.0
347,4,36047006900.0,54,BK38,60463.0
348,4,36047007100.0,24,BK38,60463.0
349,4,36047007200.0,1,BK32,60463.0
350,4,36047007500.0,46,BK33,60463.0
351,4,36047007700.0,48,BK33,60463.0
