,GEOID,GEO.display-label,tot_educ,educ_0,educ_1,educ_2,educ_3,educ_4,educ_5,educ_6,educ_7,educ_8,educ_9,educ_10,educ_11,educ_12,educ_13,educ_13.5,educ_14,educ_14.5,educ_15,educ_16,educ_18,educ_20,educ_23,reduc_0,reduc_1,reduc_2,reduc_3,reduc_4,reduc_5,reduc_6,reduc_7,reduc_8,reduc_9,reduc_10,reduc_11,reduc_12,reduc_13,reduc_13.5,reduc_14,reduc_14.5,reduc_15,reduc_16,reduc_18,reduc_20,reduc_23,NTACode
30,36005005400,"Census Tract 54, Bronx County, New York",3787,173,0,0,0,77,57,10,26,345,17,111,235,239,197,106,1034,96,633,96,269,66,0,0.0456825983628,0.0,0.0,0.0,0.0203327171904,0.0150514919461,0.00264061262213,0.00686559281753,0.0911011354634,0.00448904145762,0.0293108001056,0.06205439662,0.0631106416689,0.0520200686559,0.0279904937946,0.273039345128,0.0253498811724,0.167150778981,0.0253498811724,0.0710324795353,0.017428043306,0.0,BX08
31,36005005600,"Census Tract 56, Bronx County, New York",1650,126,0,0,0,26,10,47,18,81,11,46,137,61,29,123,460,45,189,71,124,35,11,0.0763636363636,0.0,0.0,0.0,0.0157575757576,0.00606060606061,0.0284848484848,0.0109090909091,0.0490909090909,0.00666666666667,0.0278787878788,0.0830303030303,0.0369696969697,0.0175757575758,0.0745454545455,0.278787878788,0.0272727272727,0.114545454545,0.0430303030303,0.0751515151515,0.0212121212121,0.00666666666667,BX08
32,36005005902,"Census Tract 59.02, Bronx County, New York",1647,77,0,0,0,51,31,33,50,40,28,112,32,37,29,40,466,80,208,58,164,111,0,0.0467516697025,0.0,0.0,0.0,0.0309653916211,0.0188221007893,0.0200364298725,0.0303582270795,0.0242865816636,0.0170006071645,0.0680024286582,0.0194292653309,0.0224650880389,0.0176077717061,0.0242865816636,0.282938676381,0.0485731633273,0.126290224651,0.0352155434123,0.0995749848209,0.0673952641166,0.0,BX14
33,36005006000,"Census Tract 60, Bronx County, New York",765,38,0,0,0,0,7,0,17,0,14,27,77,6,22,14,325,23,52,35,94,14,0,0.0496732026144,0.0,0.0,0.0,0.0,0.00915032679739,0.0,0.0222222222222,0.0,0.0183006535948,0.0352941176471,0.100653594771,0.0078431372549,0.0287581699346,0.0183006535948,0.424836601307,0.0300653594771,0.0679738562092,0.0457516339869,0.122875816993,0.0183006535948,0.0,BX75
34,36005006100,"Census Tract 61, Bronx County, New York",2811,31,0,0,0,0,0,0,36,12,37,41,71,33,81,90,671,203,492,174,469,337,33,0.0110281038776,0.0,0.0,0.0,0.0,0.0,0.0,0.0128068303095,0.0042689434365,0.0131625755959,0.0145855567414,0.0252579153326,0.0117395944504,0.0288153681964,0.0320170757737,0.238705087158,0.0722162931341,0.175026680896,0.0618996798292,0.16684453931,0.119886161508,0.0117395944504,BX14
35,36005006200,"Census Tract 62, Bronx County, New York",4135,327,0,0,21,0,68,11,80,115,29,74,296,227,307,251,1132,186,362,260,217,154,18,0.0790810157195,0.0,0.0,0.00507859733978,0.0,0.0164449818622,0.00266021765417,0.0193470374849,0.0278113663845,0.00701330108827,0.0178960096735,0.0715840386941,0.0548972188634,0.0742442563482,0.0607013301088,0.273760580411,0.0449818621524,0.0875453446191,0.0628778718259,0.0524788391778,0.0372430471584,0.0043530834341,BX08
36,36005006300,"Census Tract 63, Bronx County, New York",3429,61,0,0,47,0,19,54,46,97,110,247,89,237,180,103,762,58,621,162,375,144,17,0.0177894429863,0.0,0.0,0.0137066200058,0.0,0.00554097404491,0.0157480314961,0.0134149897929,0.0282881306503,0.0320793234179,0.0720326625838,0.0259550889472,0.0691163604549,0.0524934383202,0.0300379119277,0.222222222222,0.0169145523476,0.181102362205,0.0472440944882,0.109361329834,0.0419947506562,0.00495771361913,BX63
37,36005006400,"Census Tract 64, Bronx County, New York",2503,51,0,0,25,11,61,23,0,25,37,52,46,0,90,44,897,56,304,258,496,27,0,0.0203755493408,0.0,0.0,0.00998801438274,0.00439472632841,0.0243707550939,0.00918897323212,0.0,0.00998801438274,0.0147822612865,0.0207750699161,0.0183779464642,0.0,0.0359568517779,0.0175789053136,0.358369956053,0.0223731522173,0.121454254894,0.10307630843,0.198162205354,0.0107870555334,0.0,BX08
38,36005006500,"Census Tract 65, Bronx County, New York",3194,112,0,22,0,41,0,29,11,96,0,115,294,94,213,95,1122,88,423,143,277,9,10,0.035065748278,0.0,0.00688791484033,0.0,0.0128365685661,0.0,0.0090795241077,0.00344395742016,0.0300563556669,0.0,0.0360050093926,0.0920475892298,0.0294301815905,0.0666875391359,0.0297432686287,0.351283656857,0.0275516593613,0.132435817157,0.0447714464621,0.0867251095805,0.00281778334377,0.00313087038197,BX34
39,36005006700,"Census Tract 67, Bronx County, New York",4326,209,0,0,0,82,137,80,0,624,16,248,140,244,312,80,1291,133,423,97,180,30,0,0.0483125288951,0.0,0.0,0.0,0.0189551548775,0.0316689782709,0.0184928340268,0.0,0.144244105409,0.00369856680536,0.0573277854831,0.0323624595469,0.0564031437818,0.0721220527046,0.0184928340268,0.298428109108,0.0307443365696,0.0977808599168,0.0224225612575,0.0416088765603,0.00693481276006,0.0,BX34
