,GEOID,month,year,passenger_count,tot_month,share_month
0,34003002100.0,03,2013,20,1471243,1.35939474308e-05
1,34003003402.0,03,2013,1,1471243,6.79697371542e-07
2,34003005000.0,03,2013,1,1471243,6.79697371542e-07
3,34003006100.0,03,2013,4,1471243,2.71878948617e-06
4,34003006201.0,03,2013,2,1471243,1.35939474308e-06
5,34003006202.0,03,2013,1,1471243,6.79697371542e-07
6,34003006300.0,03,2013,2,1471243,1.35939474308e-06
7,34003009100.0,03,2013,1,1471243,6.79697371542e-07
8,34003013001.0,03,2013,120,1471243,8.15636845851e-05
9,34003013002.0,03,2013,11,1471243,7.47667108697e-06
10,34003015100.0,03,2013,4,1471243,2.71878948617e-06
11,34003015400.0,03,2013,1,1471243,6.79697371542e-07
12,34003015500.0,03,2013,4,1471243,2.71878948617e-06
13,34003016000.0,03,2013,72,1471243,4.8938210751e-05
14,34003018100.0,03,2013,2,1471243,1.35939474308e-06
15,34003018200.0,03,2013,2,1471243,1.35939474308e-06
16,34003019103.0,03,2013,1,1471243,6.79697371542e-07
17,34003019104.0,03,2013,1,1471243,6.79697371542e-07
18,34003019203.0,03,2013,1,1471243,6.79697371542e-07
19,34003019306.0,03,2013,2,1471243,1.35939474308e-06
20,34003023100.0,03,2013,4,1471243,2.71878948617e-06
21,34003024100.0,03,2013,4,1471243,2.71878948617e-06
22,34003028001.0,03,2013,1,1471243,6.79697371542e-07
23,34003037100.0,03,2013,1,1471243,6.79697371542e-07
24,34003037201.0,03,2013,1,1471243,6.79697371542e-07
25,34003041200.0,03,2013,3,1471243,2.03909211463e-06
26,34003041302.0,03,2013,1,1471243,6.79697371542e-07
27,34003043002.0,03,2013,1,1471243,6.79697371542e-07
28,34003045100.0,03,2013,1,1471243,6.79697371542e-07
29,34003045200.0,03,2013,2,1471243,1.35939474308e-06
30,34003046100.0,03,2013,2,1471243,1.35939474308e-06
31,34003054100.0,03,2013,1,1471243,6.79697371542e-07
32,34003054400.0,03,2013,1,1471243,6.79697371542e-07
33,34003054500.0,03,2013,1,1471243,6.79697371542e-07
34,34003054600.0,03,2013,5,1471243,3.39848685771e-06
35,34017000300.0,03,2013,1,1471243,6.79697371542e-07
36,34017003500.0,03,2013,2,1471243,1.35939474308e-06
37,34017006400.0,03,2013,1,1471243,6.79697371542e-07
38,34017006500.0,03,2013,1,1471243,6.79697371542e-07
39,34017007000.0,03,2013,6,1471243,4.07818422925e-06
40,34017007200.0,03,2013,2,1471243,1.35939474308e-06
41,34017007300.0,03,2013,3,1471243,2.03909211463e-06
42,34017007500.0,03,2013,2,1471243,1.35939474308e-06
43,34017007800.0,03,2013,15,1471243,1.01954605731e-05
44,34017014000.0,03,2013,1,1471243,6.79697371542e-07
45,34017014102.0,03,2013,3,1471243,2.03909211463e-06
46,34017014200.0,03,2013,3,1471243,2.03909211463e-06
47,34017014400.0,03,2013,4,1471243,2.71878948617e-06
48,34017014501.0,03,2013,1,1471243,6.79697371542e-07
49,34017014600.0,03,2013,18,1471243,1.22345526878e-05
50,34017014700.0,03,2013,2,1471243,1.35939474308e-06
51,34017014800.0,03,2013,8,1471243,5.43757897234e-06
52,34017015002.0,03,2013,17,1471243,1.15548553162e-05
53,34017015202.0,03,2013,3,1471243,2.03909211463e-06
54,34017015300.0,03,2013,2,1471243,1.35939474308e-06
55,34017015700.0,03,2013,1,1471243,6.79697371542e-07
56,34017015802.0,03,2013,2,1471243,1.35939474308e-06
57,34017016000.0,03,2013,4,1471243,2.71878948617e-06
58,34017016400.0,03,2013,7,1471243,4.7578816008e-06
59,34017016500.0,03,2013,12,1471243,8.15636845851e-06
60,34017016800.0,03,2013,2,1471243,1.35939474308e-06
61,34017017000.0,03,2013,1,1471243,6.79697371542e-07
62,34017017100.0,03,2013,1,1471243,6.79697371542e-07
63,34017017400.0,03,2013,1,1471243,6.79697371542e-07
64,34017017500.0,03,2013,1,1471243,6.79697371542e-07
65,34017018000.0,03,2013,1,1471243,6.79697371542e-07
66,34017018100.0,03,2013,10,1471243,6.79697371542e-06
67,34017018200.0,03,2013,5,1471243,3.39848685771e-06
68,34017018400.0,03,2013,1,1471243,6.79697371542e-07
69,34017018500.0,03,2013,2,1471243,1.35939474308e-06
70,34017018600.0,03,2013,1,1471243,6.79697371542e-07
71,34017018701.0,03,2013,11,1471243,7.47667108697e-06
72,34017018702.0,03,2013,1,1471243,6.79697371542e-07
73,34017018800.0,03,2013,1,1471243,6.79697371542e-07
74,34017019200.0,03,2013,4,1471243,2.71878948617e-06
75,34017019400.0,03,2013,2,1471243,1.35939474308e-06
76,34017019800.0,03,2013,6,1471243,4.07818422925e-06
77,34017980100.0,03,2013,4,1471243,2.71878948617e-06
78,36005000100.0,03,2013,3,1471243,2.03909211463e-06
79,36005000200.0,03,2013,4,1471243,2.71878948617e-06
80,36005000400.0,03,2013,1,1471243,6.79697371542e-07
81,36005001900.0,03,2013,85,1471243,5.77742765811e-05
82,36005002000.0,03,2013,7,1471243,4.7578816008e-06
83,36005002300.0,03,2013,10,1471243,6.79697371542e-06
84,36005002400.0,03,2013,2,1471243,1.35939474308e-06
85,36005002500.0,03,2013,1,1471243,6.79697371542e-07
86,36005002701.0,03,2013,2,1471243,1.35939474308e-06
87,36005002702.0,03,2013,6,1471243,4.07818422925e-06
88,36005002800.0,03,2013,1,1471243,6.79697371542e-07
89,36005003500.0,03,2013,1,1471243,6.79697371542e-07
90,36005003900.0,03,2013,12,1471243,8.15636845851e-06
91,36005004100.0,03,2013,1,1471243,6.79697371542e-07
