GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US36047038600,36047038600,"Census Tract 386, Kings County, New York",2513,282,125,81,0,12,0,12,0,12,0,12,0,12,90,102,19,22,91,90,33,53,21,20,69,69,63,59,42,37,160,100,783,202,53,39,24,23,197,115,211,81,402,168,96,55,8,13,26,41
1400000US36047038700,36047038700,"Census Tract 387, Kings County, New York",2393,290,69,63,0,12,0,12,13,20,0,12,42,49,37,42,17,26,71,61,15,22,60,54,65,56,45,42,275,149,80,59,520,145,170,94,55,41,302,135,178,85,224,100,100,97,55,52,0,12
1400000US36047038800,36047038800,"Census Tract 388, Kings County, New York",2518,273,94,62,15,22,0,12,0,12,0,12,0,12,0,12,15,26,26,30,1,3,88,78,17,21,25,32,14,23,115,69,864,244,152,123,54,49,181,132,249,98,368,122,165,75,43,32,32,27
1400000US36047038900,36047038900,"Census Tract 389, Kings County, New York",2032,316,121,109,0,12,0,12,30,48,14,22,28,41,61,56,60,84,143,91,22,23,68,66,143,120,46,53,64,66,17,30,307,141,63,65,18,22,293,155,49,45,397,128,63,45,12,19,13,19
1400000US36047039000,36047039000,"Census Tract 390, Kings County, New York",1495,176,12,20,0,12,0,12,0,12,0,12,4,7,0,12,11,17,6,9,0,12,49,36,30,39,53,44,42,31,78,47,617,175,55,50,25,24,95,44,83,43,213,77,93,47,29,22,0,12
1400000US36047039100,36047039100,"Census Tract 391, Kings County, New York",1944,263,38,31,0,12,0,12,30,37,0,12,37,41,34,34,95,126,104,72,137,84,42,44,100,82,53,38,36,35,19,22,478,190,17,20,51,35,259,139,86,66,253,125,43,50,32,47,0,12
1400000US36047039200,36047039200,"Census Tract 392, Kings County, New York",1633,249,14,16,0,12,0,12,0,12,0,12,11,18,0,12,62,50,9,15,7,12,5,8,32,39,53,42,0,12,39,35,596,224,59,48,55,50,127,72,164,88,262,113,116,66,8,12,14,20
1400000US36047039300,36047039300,"Census Tract 393, Kings County, New York",2563,353,95,54,0,12,0,12,0,12,0,12,0,12,37,55,36,39,70,61,20,26,141,118,50,52,87,67,0,12,54,43,740,195,70,54,77,65,295,128,162,87,454,168,125,76,50,41,0,12
1400000US36047039400,36047039400,"Census Tract 394, Kings County, New York",1555,183,43,29,0,12,0,12,0,12,0,12,0,12,0,12,51,49,15,16,12,19,24,24,24,25,19,28,25,27,49,34,502,121,96,62,77,58,157,60,98,54,235,81,88,38,24,18,16,20
1400000US36047039500,36047039500,"Census Tract 395, Kings County, New York",2256,337,38,39,0,12,0,12,18,29,0,12,34,53,22,36,0,12,303,165,31,36,139,86,21,26,21,26,125,85,11,16,559,177,29,40,28,27,374,184,95,70,277,125,76,60,4,13,51,47
1400000US36047039600,36047039600,"Census Tract 396, Kings County, New York",1209,159,5,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,14,0,12,16,28,17,26,64,36,403,109,134,97,52,36,61,49,66,67,232,99,117,64,6,9,28,29
1400000US36047039700,36047039700,"Census Tract 397, Kings County, New York",2269,311,58,46,0,12,0,12,51,44,0,12,27,33,18,24,35,54,50,42,21,29,74,44,75,84,17,26,196,141,19,22,490,174,202,91,72,56,359,138,147,87,292,111,56,45,10,18,0,12
1400000US36047039800,36047039800,"Census Tract 398, Kings County, New York",1917,238,38,30,0,12,0,12,16,18,7,10,4,7,0,12,21,16,79,55,12,13,102,65,117,67,100,83,37,35,80,64,499,135,104,68,30,29,149,80,121,59,304,108,86,39,0,12,11,19
1400000US36047039900,36047039900,"Census Tract 399, Kings County, New York",2401,406,99,112,0,12,0,12,0,12,20,34,44,40,0,12,28,43,68,82,31,34,132,112,41,50,95,98,165,108,63,71,500,127,93,69,83,70,332,169,150,89,379,244,78,71,0,12,0,12
1400000US36047040000,36047040000,"Census Tract 400, Kings County, New York",2254,231,131,77,0,12,0,12,0,12,22,29,11,17,17,26,75,76,113,63,15,23,91,84,110,87,112,79,23,28,120,67,684,196,88,59,57,35,133,66,84,54,208,83,160,87,0,12,0,12
1400000US36047040100,36047040100,"Census Tract 401, Kings County, New York",1967,346,64,62,0,12,0,12,0,12,0,12,0,12,13,21,1,3,143,88,0,12,29,45,25,27,65,63,87,56,0,12,615,247,19,28,95,104,199,117,172,89,344,167,81,60,0,12,15,23
1400000US36047040200,36047040200,"Census Tract 402, Kings County, New York",1895,203,62,37,0,12,0,12,16,24,0,12,0,12,16,21,24,26,15,16,17,19,89,61,123,74,22,26,55,33,89,52,681,166,82,38,15,15,107,74,87,45,279,81,91,56,18,18,7,11
1400000US36047040300,36047040300,"Census Tract 403, Kings County, New York",2105,290,38,42,0,12,0,12,0,12,0,12,0,12,0,12,52,43,22,32,49,51,22,29,98,88,100,79,65,48,58,46,678,207,91,53,110,59,228,108,148,87,180,87,128,81,25,39,13,21
1400000US36047040400,36047040400,"Census Tract 404, Kings County, New York",1873,252,82,77,0,12,0,12,0,12,0,12,0,12,5,8,8,12,30,24,0,12,26,29,27,39,88,86,21,28,105,69,533,192,124,71,52,51,84,55,203,83,300,151,152,71,33,37,0,12
1400000US36047040500,36047040500,"Census Tract 405, Kings County, New York",902,145,15,15,0,12,0,12,0,12,0,12,11,15,0,12,40,50,0,12,3,7,20,22,27,29,9,10,53,35,0,12,262,115,4,9,68,50,139,65,97,59,98,61,45,29,11,16,0,12
1400000US36047040600,36047040600,"Census Tract 406, Kings County, New York",2052,257,65,48,0,12,0,12,0,12,0,12,0,12,6,10,19,17,0,12,0,12,102,79,55,62,162,112,26,32,53,32,686,196,93,65,45,42,183,124,116,72,386,106,39,35,0,12,16,25
1400000US36047040700,36047040700,"Census Tract 407, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36047040800,36047040800,"Census Tract 408, Kings County, New York",2287,270,116,89,0,12,0,12,0,12,19,24,18,29,0,12,7,12,30,34,8,12,9,13,51,52,185,157,66,59,115,71,825,166,74,50,22,21,155,78,62,56,354,118,164,76,0,12,7,11
1400000US36047040900,36047040900,"Census Tract 409, Kings County, New York",2257,337,158,116,0,12,0,12,0,12,22,33,25,29,67,56,75,67,135,73,77,60,63,53,80,76,94,66,143,113,158,96,423,149,41,53,28,25,209,95,174,117,215,89,43,32,27,43,0,12
1400000US36047041000,36047041000,"Census Tract 410, Kings County, New York",1323,130,31,38,0,12,0,12,0,12,0,12,40,27,0,12,13,18,13,19,21,32,0,12,28,21,34,29,56,52,36,30,443,113,9,11,64,42,143,63,39,29,221,73,80,51,49,32,3,6
1400000US36047041100,36047041100,"Census Tract 411, Kings County, New York",1826,245,8,15,0,12,0,12,0,12,18,30,61,95,64,57,32,35,34,37,38,41,64,60,41,63,97,63,26,31,88,79,537,161,47,50,76,56,220,96,164,107,192,132,19,21,0,12,0,12
1400000US36047041200,36047041200,"Census Tract 412, Kings County, New York",1794,256,121,85,0,12,0,12,0,12,6,11,24,24,0,12,3,6,41,42,0,12,11,16,39,50,20,22,63,60,20,23,418,126,96,73,37,43,222,106,223,103,199,106,192,78,36,42,23,25
1400000US36047041300,36047041300,"Census Tract 413, Kings County, New York",2322,317,81,57,0,12,0,12,20,23,0,12,52,47,153,167,76,49,79,75,81,92,75,58,59,47,55,53,83,60,126,80,484,167,118,73,39,32,272,102,135,70,296,145,31,29,0,12,7,11
1400000US36047041401,36047041401,"Census Tract 414.01, Kings County, New York",979,115,23,27,0,12,0,12,0,12,0,12,0,12,0,12,6,9,0,12,0,12,8,12,9,9,26,28,11,19,16,13,280,101,21,22,19,17,318,81,28,23,150,72,55,44,4,6,5,11
1400000US36047041402,36047041402,"Census Tract 414.02, Kings County, New York",1233,194,5,8,0,12,0,12,0,12,0,12,15,27,0,12,0,12,3,7,0,12,24,37,0,12,28,32,8,12,43,32,319,116,31,28,29,24,280,208,57,34,302,91,40,29,26,20,23,25
1400000US36047041500,36047041500,"Census Tract 415, Kings County, New York",2915,372,61,55,0,12,0,12,0,12,0,12,40,44,12,19,0,12,41,42,25,30,117,81,72,57,173,101,249,126,181,127,761,169,127,89,97,62,263,104,210,122,342,167,144,67,0,12,0,12
1400000US36047041600,36047041600,"Census Tract 416, Kings County, New York",1538,188,31,33,0,12,0,12,0,12,0,12,14,21,10,15,10,15,95,94,11,11,10,10,30,41,4,8,5,9,69,53,634,186,25,39,39,48,171,79,70,45,219,104,82,64,9,15,0,12
1400000US36047041700,36047041700,"Census Tract 417, Kings County, New York",2121,303,84,64,0,12,0,12,0,12,12,19,93,67,41,39,24,37,131,98,86,64,9,15,157,104,138,92,24,32,116,64,461,200,112,68,30,33,253,138,60,49,234,135,56,51,0,12,0,12
1400000US36047041800,36047041800,"Census Tract 418, Kings County, New York",1130,213,15,14,0,12,0,12,0,12,1,9,5,8,14,21,0,12,0,12,31,26,2,9,14,21,35,30,15,23,40,46,459,114,10,15,58,44,104,64,25,21,156,99,111,82,31,24,4,8
1400000US36047041900,36047041900,"Census Tract 419, Kings County, New York",2199,251,52,43,0,12,0,12,30,34,0,12,30,33,20,30,9,15,117,81,43,43,89,83,25,32,104,66,94,53,94,58,542,158,132,71,20,22,364,125,102,61,244,133,72,60,16,24,0,12
1400000US36047042000,36047042000,"Census Tract 420, Kings County, New York",1041,173,21,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,19,23,21,32,0,12,7,11,67,107,22,20,20,21,369,86,14,21,38,22,159,63,28,27,154,79,71,35,0,12,31,23
1400000US36047042100,36047042100,"Census Tract 421, Kings County, New York",2532,392,161,93,0,12,0,12,7,11,38,42,59,49,53,50,37,46,365,172,59,54,49,39,79,44,118,71,36,29,47,48,675,223,47,43,66,59,217,121,66,48,273,112,67,64,13,24,0,12
1400000US36047042200,36047042200,"Census Tract 422, Kings County, New York",2089,243,18,23,0,12,0,12,0,12,0,12,0,12,26,44,0,12,57,64,28,29,117,106,67,94,67,84,0,12,110,110,441,159,25,37,163,96,244,99,74,50,453,180,180,94,8,13,11,17
1400000US36047042300,36047042300,"Census Tract 423, Kings County, New York",2899,352,122,68,0,12,0,12,51,48,45,44,22,37,106,78,96,71,361,195,70,61,86,68,138,98,234,148,92,78,151,93,344,128,101,67,35,38,322,137,68,58,320,140,100,56,28,36,7,11
1400000US36047042400,36047042400,"Census Tract 424, Kings County, New York",2352,234,151,76,0,12,0,12,0,12,0,12,0,12,18,29,8,15,88,96,24,40,79,59,53,49,68,40,29,28,56,34,492,167,124,84,64,53,162,82,102,54,493,132,290,99,34,41,17,19
1400000US36047042500,36047042500,"Census Tract 425, Kings County, New York",1607,221,17,26,0,12,0,12,0,12,28,44,0,12,0,12,21,22,80,66,45,48,49,44,70,72,30,36,47,47,26,27,167,100,153,76,43,39,232,86,161,79,324,129,106,51,8,13,0,12
1400000US36047042600,36047042600,"Census Tract 426, Kings County, New York",3248,323,258,115,0,12,0,12,0,12,36,46,0,12,39,46,43,33,147,99,12,18,39,34,164,110,220,133,56,85,141,105,707,175,154,106,158,77,207,78,250,113,470,122,104,70,33,31,10,15
1400000US36047042700,36047042700,"Census Tract 427, Kings County, New York",3511,424,146,85,0,17,14,22,32,49,12,18,27,34,161,115,100,78,697,227,10,15,77,47,169,134,106,49,76,52,172,90,614,209,18,21,90,47,228,98,76,50,444,165,242,118,0,17,0,17
1400000US36047042800,36047042800,"Census Tract 428, Kings County, New York",2939,291,74,56,0,12,0,12,0,12,19,21,16,18,0,12,16,20,86,100,17,22,34,29,6,11,152,112,58,52,91,47,833,233,109,70,68,43,191,78,250,103,573,136,251,94,49,41,46,33
1400000US36047042900,36047042900,"Census Tract 429, Kings County, New York",3787,402,218,103,0,17,0,17,75,57,69,48,110,63,103,71,147,76,712,230,34,37,166,91,122,87,89,65,191,90,198,106,564,225,98,63,135,97,243,117,34,36,290,122,163,89,26,31,0,17
1400000US36047043000,36047043000,"Census Tract 430, Kings County, New York",2311,259,107,76,0,12,0,12,0,12,32,41,0,12,0,12,18,22,61,67,25,32,39,40,91,65,23,25,31,37,117,94,642,229,18,20,24,28,117,80,274,124,388,142,297,115,7,12,0,12
1400000US36047043100,36047043100,"Census Tract 431, Kings County, New York",3265,341,126,86,0,17,0,17,46,53,112,63,32,37,25,28,107,75,454,160,86,62,158,77,194,120,215,118,37,45,145,100,519,213,83,66,39,36,309,164,76,66,462,185,31,36,0,17,9,14
1400000US36047043200,36047043200,"Census Tract 432, Kings County, New York",3123,331,168,72,8,13,20,29,0,12,0,12,24,38,21,34,62,76,188,107,37,27,120,93,114,79,68,57,62,48,171,95,717,208,101,52,57,47,200,80,196,80,496,141,232,96,43,37,18,16
1400000US36047043300,36047043300,"Census Tract 433, Kings County, New York",2506,289,115,76,0,12,0,12,0,12,11,21,33,42,0,12,123,78,406,209,48,44,101,77,165,79,79,55,182,124,106,77,362,127,53,55,38,33,139,76,126,100,328,128,91,69,0,12,0,12
1400000US36047043400,36047043400,"Census Tract 434, Kings County, New York",2530,234,53,47,9,13,0,12,6,10,50,76,0,12,16,20,9,14,79,68,16,26,70,55,117,103,41,38,9,14,77,62,615,200,78,61,52,40,252,102,191,68,483,125,272,99,21,23,14,16
1400000US36047043500,36047043500,"Census Tract 435, Kings County, New York",3065,309,102,78,0,17,9,15,29,44,34,46,95,74,42,53,94,77,194,165,111,83,92,66,78,67,78,57,133,75,198,102,627,196,122,64,96,61,403,152,169,92,311,130,48,53,0,17,0,17
1400000US36047043600,36047043600,"Census Tract 436, Kings County, New York",3236,252,40,31,0,12,26,38,0,12,0,12,0,12,0,12,25,23,73,53,6,10,108,67,74,59,191,114,15,22,230,114,909,263,73,47,78,54,160,75,188,81,657,205,319,118,47,36,17,27
1400000US36047043700,36047043700,"Census Tract 437, Kings County, New York",3435,334,65,46,0,17,0,17,0,17,63,49,80,57,41,40,30,36,199,102,48,55,66,46,177,114,95,71,165,71,344,167,623,174,146,85,63,47,436,109,185,113,397,136,203,102,9,13,0,17
